Trial Number,note,SEMs?,Salinity,Conductivity Theoretical,Conductivity Start,Conductivity End,Start Time,Start Date,Pressure (psi),Pump Power,Good,Reason,Researcher,Scale Time 1 (min),Scale Time 2 (min),Batch Flowrate,sixtyP flux time (min),Trough time (min),Peak time (min),Cessation time (min),Flux offset (lmh),Did Not Scale
27,normal but cond dropped--scaling? also didn't follow usual pattern,,38.4,13.08,12.17,10.27,10:00 PM,2/20/2025,460,20,,,,,,,11.8,,,28,7.6,
28,normal?,,,,5.67,,9:44,2/23/2025,450,20.2,,,,,,,235,668,2622,,7.6,
29,normal?,,,,6.22,6.07,8:30,2/27/2025,450,20,,,,,,,234,921,1861,,7.6,
30,normal? but for SEM,yes - 644min,,,5.83,5.88,9:36,3/30/2025,450,19.6,,,,,,,,,,,7.6,
31,120 min for SEM,yes - 120 min,,5.9,5.9,,16:34,4/3/2025,450,19.6,yes til early end,,,,,,,,,,7.6,
32,reused soln morph only (lost data),"yes - ""full"" at 64 h (data file created 4/6 12:44pm)",,5.9,5.84,5.92,8:34 PM,4/3/2025,450,19.9?,morph only (data lost excep last couple min),,,,,,,,,,7.6,
33,(cannot find run sheet) reused soln morph only,no,,5.9,,,,4/6/2025,,,morph only,,,,,,,,,,0,
34,prob dont use after full scale - reused soln morph only - add 5 min before start,yes - 40 min,,5.9,5.87,5.9,6:05,4/6/2025,450,19.5,morph only,,,,,,,,,,7.6,
35,prob dont use after full scale - reused soln morph only 400 min,no,,5.9,6.04,5.9,3:57 PM,4/7/2025,450,19.5,morph only,,,,,,,,,,7.6,
36,dont use - after full scale - reused soln morph only - several crashes,yes - 6 d,,,3.44,,2:53 PM,4/10/2025,450,19.5,morph only. part 2 started Friday 1pm. part 3 started right after part 2 (no gap),,,,,,,,,,7.6,
37,just (18.3031 g) CaCl2 - compaction?,,,5.9,5.9,,10:28 AM,4/17/2025,450,19.6,compaction only,,,,,,,,,,7.6,
38,"can only say more than - Kai-Xing said it stopped during ""1st scale"" ?? at 6000min or 3000? doesn't matter I guess, no images",,,5.9,5.88,,1:43 PM,4/22/2025,450,19.6,yes til 1st peak,,,,,,,,,,7.6,1
39,stopped at first peak,"yes - 50 h, post-peak",,5.9,5.9,,5:45 PM,4/26/2025,450,19.6,yes til 1st peak,,,,,,59,1535,2882,,7.6,
40,normal?,,,,5.9,,3:43 PM,4/29/2025,450,19.6,,,,,,,49,638,1452,,7.6,
41,low-CaSO4 trial (intended for compaction),,12,4.5386,4.36,,14:09,5/1/2025,450,19.6,yes,,,,,,197,,,,7.6,1
42,"not real, a duplicate of 41",,,,,,,,,,,,,,,,,,,,0,
